Size,MatrixInterval,MatrixCond,Noise,Iter,r1,rel_r2,r2,Ue,SError,Ve,Time_ms,Trials
52x50,[0;10],1274.08,1e-15,1,7.8947e-13,5.08256e-16,1.94552e-14,4.59277e-14,1.01476e-14,3.83016e-14,0.2793,1
52x50,[0;10],1274.08,1e-15,5,7.72361e-13,4.96139e-16,1.89914e-14,6.27215e-14,9.30971e-15,4.50762e-14,1.2503,1
52x50,[0;10],1274.08,1e-15,10,8.4387e-13,5.42161e-16,2.07531e-14,4.27166e-14,1.15614e-14,3.44844e-14,2.4713,1
52x50,[0;10],1274.08,1e-15,50,7.10621e-13,4.58798e-16,1.75621e-14,5.1869e-14,8.01625e-15,4.13454e-14,12.2553,1
52x50,[0;10],1274.08,1e-18,1,7.33686e-13,4.71406e-16,1.80447e-14,7.36616e-14,8.53319e-15,5.83198e-14,0.2788,1
52x50,[0;10],1274.08,1e-18,5,7.55158e-13,4.89888e-16,1.87522e-14,5.97473e-14,8.94877e-15,4.51673e-14,1.6276,1
52x50,[0;10],1274.08,1e-18,10,8.12807e-13,5.21944e-16,1.99792e-14,6.02676e-14,1.06716e-14,5.52826e-14,3.779,1
52x50,[0;10],1274.08,1e-18,50,7.60518e-13,4.92025e-16,1.8834e-14,4.6491e-14,1.01669e-14,3.27749e-14,18.4705,1
52x50,[0;10],1274.08,1e-33,1,7.38348e-13,4.77481e-16,1.82772e-14,7.62248e-14,8.72533e-15,5.8935e-14,0.4402,1
52x50,[0;10],1274.08,1e-33,5,7.59845e-13,4.91904e-16,1.88293e-14,6.37072e-14,8.60647e-15,3.48921e-14,1.8676,1
52x50,[0;10],1274.08,1e-33,10,7.30414e-13,4.68283e-16,1.79251e-14,2.98048e-14,8.207e-15,2.86156e-14,2.934,1
52x50,[0;10],1274.08,1e-33,50,7.51431e-13,4.85424e-16,1.85813e-14,5.96823e-14,8.62766e-15,5.17099e-14,18.311,1
52x50,[0;100],1274.08,0.001,1,0.801964,5.19566e-05,0.0198882,0.00568643,0.00639061,0.00160344,0.3097,1
52x50,[0;100],1274.08,0.001,5,7.94702e-12,5.08983e-16,1.94831e-13,0.00033851,9.96125e-14,3.53626e-14,1.9006,1
52x50,[0;100],1274.08,0.001,10,7.19916e-12,4.64865e-16,1.77943e-13,0.00033851,8.55534e-14,4.27739e-14,2.4688,1
52x50,[0;100],1274.08,0.001,50,7.64803e-12,4.8927e-16,1.87285e-13,0.00033851,9.97212e-14,2.84564e-14,12.3388,1
52x50,[0;100],1274.08,1e-15,1,6.75531e-12,4.34175e-16,1.66196e-13,6.80354e-14,7.10353e-14,4.23013e-14,0.2793,1
52x50,[0;100],1274.08,1e-15,5,7.03042e-12,4.53468e-16,1.73581e-13,3.48881e-14,7.92698e-14,3.23274e-14,1.2517,1
52x50,[0;100],1274.08,1e-15,10,8.54746e-12,5.50994e-16,2.10912e-13,3.36112e-14,1.26162e-13,3.09131e-14,2.5805,1
52x50,[0;100],1274.08,1e-15,50,8.1629e-12,5.30034e-16,2.02889e-13,3.29276e-14,1.15052e-13,2.88857e-14,12.4054,1
52x50,[0;100],1274.08,1e-18,1,7.57142e-12,4.90352e-16,1.87699e-13,5.27829e-14,9.90882e-14,4.35869e-14,0.3101,1
52x50,[0;100],1274.08,1e-18,5,7.63555e-12,4.91212e-16,1.88028e-13,5.252e-14,9.55268e-14,4.25155e-14,1.2502,1
52x50,[0;100],1274.08,1e-18,10,8.52463e-12,5.44458e-16,2.0841e-13,6.39473e-14,1.30905e-13,6.33013e-14,2.4632,1
52x50,[0;100],1274.08,1e-18,50,7.69214e-12,4.94325e-16,1.8922e-13,4.82005e-14,9.8697e-14,4.66934e-14,12.7698,1
52x50,[0;100],1274.08,1e-33,1,7.13957e-12,4.63918e-16,1.77581e-13,5.1591e-14,9.27598e-14,3.98675e-14,0.2961,1
52x50,[0;100],1274.08,1e-33,5,7.36824e-12,4.7398e-16,1.81432e-13,4.51877e-14,9.80983e-14,2.6548e-14,1.3293,1
52x50,[0;100],1274.08,1e-33,10,7.53433e-12,4.80051e-16,1.83756e-13,4.91566e-14,9.21181e-14,3.16209e-14,2.465,1
52x50,[0;100],1274.08,1e-33,50,7.74512e-12,4.97015e-16,1.9025e-13,5.79658e-14,9.0118e-14,3.47661e-14,12.9352,1
